Date,Depth,Lat,Lon
2020-02-10 01:09:50, -261.5, 34.03974879807881, -81.23606260260327
2020-02-10 01:09:51, -260.4, 34.03972636347035, -81.23605361980393
2020-02-10 01:09:52, -261.1, 34.03971888526622, -81.23605361980393
2020-02-10 01:09:53, -263.0, 34.03969645064976, -81.23605361980393
2020-02-10 01:09:54, -263.0, 34.03967401602731, -81.23605361980393
2020-02-10 01:09:55, -256.3, 34.03965905960904, -81.23606260260327
2020-02-10 01:09:56, -248.4, 34.03964410318809, -81.23607158540261
2020-02-10 01:09:57, -264.9, 34.039621668551675, -81.23608056820194
2020-02-10 01:09:58, -265.0, 34.039614190338206, -81.23608955100129
2020-02-10 01:09:59, -265.0, 34.03959923390928, -81.23610751659996
2020-02-10 01:10:00, -264.9, 34.03959175569381, -81.23612548219864
2020-02-10 01:10:01, -264.9, 34.0395842774777, -81.23613446499799
2020-02-10 01:10:02, -262.6, 34.03957679926091, -81.236161413396
2020-02-10 01:10:03, -346.4, 34.03957679926091, -81.23618836179402
2020-02-10 01:10:04, -348.4, 34.039569321043444, -81.23621531019204
2020-02-10 01:10:05, -349.5, 34.03957679926091, -81.23622429299138
2020-02-10 01:10:06, -348.4, 34.03957679926091, -81.2362512413894
2020-02-10 01:10:07, -348.7, 34.03957679926091, -81.23627818978741
2020-02-10 01:10:08, -335.8, 34.03957679926091, -81.23628717258676
2020-02-10 01:10:09, -336.2, 34.0395842774777, -81.23631412098477
2020-02-10 01:10:10, -346.9, 34.03959923390928, -81.23633208658346
2020-02-10 01:10:11, -345.1, 34.03960671212407, -81.23634106938279
2020-02-10 01:10:12, -345.1, 34.039621668551675, -81.23635903498148
2020-02-10 01:10:13, -345.1, 34.03963662497662, -81.23637700058015
2020-02-10 01:10:14, -276.8, 34.0396515813989, -81.23638598337949
2020-02-10 01:10:15, -248.9, 34.03965905960904, -81.23639496617882
2020-02-10 01:10:16, -248.0, 34.03968149423545, -81.23640394897816
2020-02-10 01:10:17, -252.1, 34.03969645064976, -81.23641293177751
2020-02-10 01:10:18, -258.9, 34.0397039288559, -81.23641293177751
2020-02-10 01:10:19, -258.9, 34.03972636347035, -81.23641293177751
2020-02-10 01:10:20, -257.7, 34.03974879807881, -81.23641293177751
2020-02-10 01:10:21, -257.7, 34.0397562762803, -81.23641293177751
2020-02-10 01:10:22, -260.8, 34.03977871088078, -81.23640394897816
2020-02-10 01:10:23, -263.2, 34.03980114547526, -81.23639496617882
2020-02-10 01:10:24, -260.6, 34.039808623672094, -81.23639496617882
2020-02-10 01:10:25, -260.8, 34.03983105825859, -81.23638598337949
2020-02-10 01:10:26, -260.8, 34.03985349283912, -81.23637700058015
2020-02-10 01:10:27, -261.0, 34.0398609710313, -81.2363680177808
2020-02-10 01:10:28, -256.0, 34.03987592741364, -81.23635005218213
2020-02-10 01:10:29, -258.7, 34.039890883793326, -81.23632310378412
2020-02-10 01:10:30, -251.8, 34.03989836198218, -81.23631412098477
2020-02-10 01:10:31, -256.1, 34.03990584017037, -81.2362961553861
2020-02-10 01:10:32, -252.4, 34.03991331835787, -81.23626920698807
2020-02-10 01:10:33, -252.4, 34.039920796544735, -81.23626022418874
2020-02-10 01:10:34, -254.4, 34.03992827473091, -81.23623327579071
2020-02-10 01:10:35, -261.6, 34.03992827473091, -81.23620632739271
2020-02-10 01:10:36, -261.6, 34.03993575291644, -81.23618836179402
2020-02-10 01:10:37, -261.6, 34.03993575291644, -81.236161413396
2020-02-10 01:10:38, -277.9, 34.03992827473091, -81.23613446499799
2020-02-10 01:10:39, -272.5, 34.03992827473091, -81.23612548219864
2020-02-10 01:10:40, -268.4, 34.039920796544735, -81.23609853380063
2020-02-10 01:10:41, -268.5, 34.03991331835787, -81.23607158540261
2020-02-10 01:10:42, -268.5, 34.03990584017037, -81.23606260260327
2020-02-10 01:10:43, -268.5, 34.03989836198218, -81.23603565420525
2020-02-10 01:10:44, -251.6, 34.039883405603824, -81.23601768860658
2020-02-10 01:10:45, -257.5, 34.03987592741364, -81.23600870580724
2020-02-10 01:10:46, -257.5, 34.0398609710313, -81.23599074020855
2020-02-10 01:10:47, -272.8, 34.03983853645278, -81.23597277460988
2020-02-10 01:10:48, -266.7, 34.03983105825859, -81.23596379181053
2020-02-10 01:10:49, -266.7, 34.039808623672094, -81.23594582621185
2020-02-10 01:10:50, -266.7, 34.03979366727777, -81.23593684341252
2020-02-10 01:10:51, -348.3, 34.0397712326813, -81.23593684341252
2020-02-10 01:10:52, -348.3, 34.039763754481136, -81.23593684341252
2020-02-10 01:10:53, -341.4, 34.039741319876676, -81.23592786061317
2020-02-10 01:10:54, -338.0, 34.03971888526622, -81.23592786061317
2020-02-10 01:10:55, -338.0, 34.0397039288559, -81.23593684341252
2020-02-10 01:10:56, -338.0, 34.03968149423545, -81.23593684341252
2020-02-10 01:10:57, -332.9, 34.039666537818505, -81.23594582621185
2020-02-10 01:10:58, -332.9, 34.0396515813989, -81.23595480901119
2020-02-10 01:10:59, -333.0, 34.03962914676448, -81.23596379181053
2020-02-10 01:11:00, -340.4, 34.039614190338206, -81.23597277460988
2020-02-10 01:11:01, -340.4, 34.03959923390928, -81.23598175740922
2020-02-10 01:11:02, -338.5, 34.0395842774777, -81.2359997230079
2020-02-10 01:11:03, -338.5, 34.039569321043444, -81.23601768860658
2020-02-10 01:11:04, -341.7, 34.0395618428253, -81.23603565420525
2020-02-10 01:11:05, -341.7, 34.03955436460653, -81.2360446370046
2020-02-10 01:11:06, -341.9, 34.03953940816695, -81.23606260260327
