Date,Depth,Lat,Lon
2020-02-10 12:33:48, -0.9, 34.03933001773337, -81.236637501761
2020-02-10 12:33:49, -0.8, 34.03931506125387, -81.23661953616232
2020-02-10 12:33:50, -0.9, 34.03930758301313, -81.23661055336298
2020-02-10 12:33:51, -0.8, 34.03929262652963, -81.2365925877643
2020-02-10 12:33:52, -0.8, 34.03928514828688, -81.23657462216562
2020-02-10 12:33:53, -0.7, 34.039277670043475, -81.23655665656693
2020-02-10 12:33:54, -0.8, 34.0392701917994, -81.23653869096826
2020-02-10 12:33:55, -0.8, 34.0392701917994, -81.23651174257024
2020-02-10 12:33:56, -0.8, 34.0392701917994, -81.23649377697156
2020-02-10 12:33:57, -0.8, 34.039277670043475, -81.23647581137288
2020-02-10 12:33:58, -0.8, 34.03928514828688, -81.23645784577421
2020-02-10 12:33:59, -0.8, 34.0393001047717, -81.23644886297487
2020-02-10 12:34:00, -0.9, 34.03931506125387, -81.23643089737618
2020-02-10 12:34:01, -0.8, 34.03933001773337, -81.23642191457685
2020-02-10 12:34:02, -0.8, 34.039344974210216, -81.23641293177751
2020-02-10 12:34:03, -0.9, 34.039359930684384, -81.23641293177751
2020-02-10 12:34:04, -0.7, 34.03937488715593, -81.23641293177751
2020-02-10 12:34:05, -0.8, 34.03939732185819, -81.23641293177751
2020-02-10 12:34:06, -0.8, 34.039412278323056, -81.23641293177751
2020-02-10 12:34:07, -0.7, 34.03943471301537, -81.23641293177751
2020-02-10 12:34:08, -0.7, 34.03944966947358, -81.23642191457685
2020-02-10 12:34:09, -0.7, 34.03946462592912, -81.23642191457685
2020-02-10 12:34:10, -0.8, 34.03948706060745, -81.23643089737618
2020-02-10 12:34:11, -0.7, 34.039502017056364, -81.23643988017552
2020-02-10 12:34:12, -0.7, 34.03952445172469, -81.23643988017552
2020-02-10 12:34:13, -0.7, 34.03953940816695, -81.23644886297487
2020-02-10 12:34:14, -0.7, 34.03955436460653, -81.23644886297487
2020-02-10 12:34:15, -0.8, 34.03957679926091, -81.23645784577421
2020-02-10 12:34:16, -0.7, 34.03959175569381, -81.23645784577421
2020-02-10 12:34:17, -0.7, 34.039614190338206, -81.23646682857355
2020-02-10 12:34:18, -0.8, 34.03962914676448, -81.23646682857355
2020-02-10 12:34:19, -0.8, 34.0396515813989, -81.23646682857355
2020-02-10 12:34:20, -0.8, 34.039666537818505, -81.23647581137288
2020-02-10 12:34:21, -0.7, 34.03968149423545, -81.23647581137288
2020-02-10 12:34:22, -0.8, 34.0397039288559, -81.23647581137288
2020-02-10 12:34:23, -0.7, 34.03971888526622, -81.23647581137288
2020-02-10 12:34:24, -0.7, 34.039741319876676, -81.23647581137288
2020-02-10 12:34:25, -0.8, 34.0397562762803, -81.23647581137288
2020-02-10 12:34:26, -0.8, 34.03977871088078, -81.23647581137288
2020-02-10 12:34:27, -0.7, 34.03979366727777, -81.23646682857355
2020-02-10 12:34:28, -0.7, 34.039808623672094, -81.23646682857355
2020-02-10 12:34:29, -0.7, 34.03983105825859, -81.23646682857355
2020-02-10 12:34:30, -0.7, 34.03984601464629, -81.23646682857355
2020-02-10 12:34:31, -0.8, 34.03986844922281, -81.23646682857355
2020-02-10 12:34:32, -0.8, 34.039883405603824, -81.23646682857355
2020-02-10 12:34:33, -0.8, 34.03990584017037, -81.23646682857355
2020-02-10 12:34:34, -0.7, 34.039920796544735, -81.23646682857355
2020-02-10 12:34:35, -0.7, 34.03993575291644, -81.23646682857355
2020-02-10 12:34:36, -0.7, 34.039958187469004, -81.23646682857355
2020-02-10 12:34:37, -0.8, 34.03997314383404, -81.23645784577421
2020-02-10 12:34:38, -0.8, 34.03999557837663, -81.23645784577421
2020-02-10 12:34:39, -0.7, 34.04001053473501, -81.23645784577421
2020-02-10 12:34:40, -0.8, 34.04003296926762, -81.23645784577421
2020-02-10 12:34:41, -0.8, 34.040047925619376, -81.23645784577421
2020-02-10 12:34:42, -0.7, 34.04006288196845, -81.23645784577421
2020-02-10 12:34:43, -0.7, 34.04007783831486, -81.23645784577421
2020-02-10 12:34:44, -0.8, 34.04009279465861, -81.23645784577421
2020-02-10 12:34:45, -0.7, 34.04010775099971, -81.23645784577421
2020-02-10 12:34:46, -0.7, 34.04011522916926, -81.23643988017552
2020-02-10 12:34:47, -0.8, 34.040122707338135, -81.23643089737618
2020-02-10 12:34:48, -0.7, 34.040122707338135, -81.23641293177751
2020-02-10 12:34:49, -0.6, 34.040122707338135, -81.23639496617882
2020-02-10 12:34:50, -0.6, 34.04010775099971, -81.23637700058015
2020-02-10 12:34:51, -0.8, 34.04009279465861, -81.2363680177808
2020-02-10 12:34:52, -0.7, 34.04007783831486, -81.23635903498148
2020-02-10 12:34:53, -0.8, 34.04005540379422, -81.23635903498148
2020-02-10 12:34:54, -0.8, 34.04004044744382, -81.23635005218213
2020-02-10 12:34:55, -0.7, 34.040025491090766, -81.23635005218213
2020-02-10 12:34:56, -0.7, 34.04000305655616, -81.23635005218213
2020-02-10 12:34:57, -0.7, 34.039988100196425, -81.23635005218213
2020-02-10 12:34:58, -0.7, 34.039965665651835, -81.23635903498148
2020-02-10 12:34:59, -0.8, 34.03994323110127, -81.2363680177808
2020-02-10 12:35:00, -0.7, 34.03992827473091, -81.2363680177808
2020-02-10 12:35:01, -0.7, 34.03990584017037, -81.23637700058015
2020-02-10 12:35:02, -0.8, 34.039890883793326, -81.23638598337949
2020-02-10 12:35:03, -0.7, 34.03986844922281, -81.23639496617882
2020-02-10 12:35:04, -0.7, 34.03985349283912, -81.23639496617882
