latitude,longitude,name,color
33.9726827222,-81.0425517598,,#FFF00
33.9722945002,-81.0421686876,,#FFF00
33.9719415712,-81.041828179,,#FFF00
33.971623935,-81.0415302339,,#FFF00
33.9712357131,-81.0412322889,,#FFF00
33.9709180769,-81.0408492166,,#FFF00
33.9705651478,-81.0405512716,,#FFF00
33.9702475117,-81.040210763,,#FFF00
33.9698592897,-81.0399128179,,#FFF00
33.9695063607,-81.0395297457,,#FFF00
33.9691181387,-81.0392318006,,#FFF00
33.9687299168,-81.0388487284,,#FFF00
33.9683064019,-81.0385507834,,#FFF00
33.9676358367,-81.0380400204,,#FFF00
33.9670711502,-81.0377420754,,#FFF00
33.9665064637,-81.0375292575,,#FFF00
33.9660829489,-81.0374015667,,#FFF00
33.965659434,-81.0371887488,,#FFF00
33.9652359191,-81.0370610581,,#FFF00
33.9653065049,-81.0368908038,,#FFF00
33.9656947269,-81.0370184945,,#FFF00
33.9661182418,-81.0372313124,,#FFF00
33.9665417566,-81.0373590032,,#FFF00
33.967141736,-81.0375292575,,#FFF00
33.9677064225,-81.0378272025,,#FFF00
33.9684122806,-81.0383379655,,#FFF00
33.9688357955,-81.0386784741,,#FFF00
33.9692240174,-81.0390615463,,#FFF00
33.9696122394,-81.0393594914,,#FFF00
33.9699651685,-81.0397425636,,#FFF00
33.9703533904,-81.0400405086,,#FFF00
33.9706710266,-81.0403810173,,#FFF00
33.9710592485,-81.0407215259,,#FFF00
33.9713415918,-81.0410620345,,#FFF00
33.9717298137,-81.0414025432,,#FFF00
33.972012157,-81.0416579247,,#FFF00
33.9724003789,-81.0420409969,,#FFF00
33.9727886009,-81.0424240691,,#FFF00
33.9732474087,-81.0427645777,,#FFF00
33.9737768022,-81.0432327771,,#FFF00
33.97423561,-81.0436158493,,#FFF00
33.9746944178,-81.0440414851,,#FFF00
33.9748355894,-81.0438712308,,#FFF00
33.9743414887,-81.0434030314,,#FFF00
33.973882681,-81.0430625228,,#FFF00
33.9733179945,-81.0425943234,,#FFF00
33.9728944796,-81.0422538148,,#FFF00
33.9725062576,-81.0419133061,,#FFF00
33.9721180357,-81.0415302339,,#FFF00
33.9718356924,-81.0412322889,,#FFF00
33.9714474705,-81.0408917802,,#FFF00
33.9711651272,-81.0405512716,,#FFF00
33.9707769053,-81.0401681994,,#FFF00
33.970494562,-81.0398702543,,#FFF00
33.9700710472,-81.0395297457,,#FFF00
33.969753411,-81.0391466735,,#FFF00
33.9693298962,-81.0388487284,,#FFF00
33.9689416742,-81.0384656562,,#FFF00
33.9685181593,-81.0381251476,,#FFF00
33.9677417154,-81.0375718211,,#FFF00
33.9672476147,-81.0373164396,,#FFF00
33.9666123424,-81.0371887488,,#FFF00
33.9661888276,-81.0370610581,,#FFF00
33.9657653127,-81.0368482402,,#FFF00
33.9653417978,-81.0366779859,,#FFF00
33.9653770907,-81.0365077316,,#FFF00
33.9658006056,-81.0366779859,,#FFF00
33.9662241205,-81.0368908038,,#FFF00
33.9666476353,-81.0370184945,,#FFF00
33.9673182005,-81.0371036217,,#FFF00
33.9677770083,-81.0373164396,,#FFF00
33.968624038,-81.0379123297,,#FFF00
33.9690475529,-81.0382528383,,#FFF00
33.9694357749,-81.0386359105,,#FFF00
33.9698592897,-81.0389764192,,#FFF00
33.9701769259,-81.0393594914,,#FFF00
33.9706004408,-81.0397,,#FFF00
33.970882784,-81.0399979451,,#FFF00
33.971271006,-81.0403810173,,#FFF00
33.9715533492,-81.0407215259,,#FFF00
33.9719415712,-81.0411045981,,#FFF00
33.9721886215,-81.0413599796,,#FFF00
33.9726121364,-81.0417856154,,#FFF00
33.9730003583,-81.042126124,,#FFF00
33.9734238732,-81.0424240691,,#FFF00
33.9739885597,-81.0428922684,,#FFF00
33.9744473675,-81.0432327771,,#FFF00
33.9749414681,-81.0437009764,,#FFF00
