latitude,longitude,name,color
33.973106237,-81.0439137943,,#FFF00
33.9734238732,-81.0441691758,,#FFF00
33.9734238732,-81.0441691758,,#FFF00
33.9736003377,-81.0444245573,,#FFF00
33.9739179739,-81.0446799388,,#FFF00
33.9740944384,-81.0449353202,,#FFF00
33.9744473675,-81.0451481381,,#FFF00
33.974623832,-81.0454035196,,#FFF00
33.9746591249,-81.0453183925,,#FFF00
33.9744826604,-81.045063011,,#FFF00
33.9741297313,-81.0448501931,,#FFF00
33.9739532668,-81.0445948116,,#FFF00
33.9736356306,-81.0443394301,,#FFF00
33.9734591661,-81.0440840487,,#FFF00
33.9734591661,-81.0440840487,,#FFF00
33.9731415299,-81.0438286672,,#FFF00
33.9729297725,-81.0436158493,,#FFF00
33.9726121364,-81.0433179042,,#FFF00
33.9724356718,-81.0430625228,,#FFF00
33.9724356718,-81.0430625228,,#FFF00
33.9721180357,-81.0428071413,,#FFF00
33.9719415712,-81.0425517598,,#FFF00
33.9718356924,-81.0425091962,,#FFF00
33.971623935,-81.0422538148,,#FFF00
33.9715533492,-81.0422538148,,#FFF00
33.9714121776,-81.0420835604,,#FFF00
33.9713062989,-81.0420835604,,#FFF00
33.9713062989,-81.0420835604,,#FFF00
33.9711298343,-81.0419133061,,#FFF00
33.9710592485,-81.0418707425,,#FFF00
33.970882784,-81.0416579247,,#FFF00
33.9707416124,-81.0416153611,,#FFF00
33.9705651478,-81.0414025432,,#FFF00
33.9704239762,-81.0413599796,,#FFF00
33.9704239762,-81.0413599796,,#FFF00
33.9702475117,-81.0411471617,,#FFF00
33.9701769259,-81.0411471617,,#FFF00
33.9699651685,-81.0409343438,,#FFF00
33.9698592897,-81.0408917802,,#FFF00
33.9696828252,-81.0407215259,,#FFF00
33.9696122394,-81.0406789623,,#FFF00
33.969400482,-81.040508708,,#FFF00
33.969400482,-81.040508708,,#FFF00
33.9692946033,-81.0404235809,,#FFF00
33.9690828458,-81.0402533265,,#FFF00
33.9689769671,-81.0401681994,,#FFF00
33.9688005026,-81.0399553815,,#FFF00
33.9684828664,-81.0397851272,,#FFF00
33.968271109,-81.0395723093,,#FFF00
33.9680593516,-81.039402055,,#FFF00
33.9678475941,-81.0392318006,,#FFF00
33.9676358367,-81.0390615463,,#FFF00
33.9674240793,-81.0388487284,,#FFF00
33.9674240793,-81.0388487284,,#FFF00
33.9667182212,-81.0383805291,,#FFF00
33.9664711708,-81.0382954019,,#FFF00
33.9661888276,-81.0381251476,,#FFF00
33.966012363,-81.0380400204,,#FFF00
33.9659770701,-81.0380400204,,#FFF00
33.9658006056,-81.0379123297,,#FFF00
33.9656241411,-81.0379123297,,#FFF00
33.9654476766,-81.0378272025,,#FFF00
33.9653065049,-81.037784639,,#FFF00
33.9650947475,-81.0376569482,,#FFF00
33.9648829901,-81.0376143846,,#FFF00
33.964918283,-81.0375292575,,#FFF00
33.9651300404,-81.0375718211,,#FFF00
33.9653417978,-81.0376995118,,#FFF00
33.9654476766,-81.0377420754,,#FFF00
33.965659434,-81.0378272025,,#FFF00
33.9658006056,-81.0378272025,,#FFF00
33.966012363,-81.0379548933,,#FFF00
33.9660476559,-81.0379548933,,#FFF00
33.9662241205,-81.0380400204,,#FFF00
33.9665064637,-81.0382102747,,#FFF00
33.9667535141,-81.0382954019,,#FFF00
33.9674240793,-81.0387210377,,#FFF00
33.9674240793,-81.0387636013,,#FFF00
33.9676711296,-81.0389764192,,#FFF00
33.967882887,-81.0391466735,,#FFF00
33.9680946445,-81.0393169278,,#FFF00
33.9683064019,-81.0394871821,,#FFF00
33.9685181593,-81.0397425636,,#FFF00
33.9688357955,-81.0399128179,,#FFF00
33.96901226,-81.0401256358,,#FFF00
33.9691534316,-81.040210763,,#FFF00
33.9693298962,-81.0403810173,,#FFF00
33.9694357749,-81.0404661444,,#FFF00
33.9694710678,-81.0404661444,,#FFF00
33.9696475323,-81.0405938352,,#FFF00
33.969753411,-81.0406789623,,#FFF00
33.9698945826,-81.0408066531,,#FFF00
33.9700357543,-81.0408917802,,#FFF00
33.9702122188,-81.0410620345,,#FFF00
33.9703180975,-81.0411045981,,#FFF00
33.9704592691,-81.041317416,,#FFF00
33.9704592691,-81.0412748524,,#FFF00
33.9706357337,-81.0413599796,,#FFF00
33.9707769053,-81.0415302339,,#FFF00
33.9709533698,-81.0416153611,,#FFF00
33.9710945414,-81.0417856154,,#FFF00
33.9712004201,-81.0418707425,,#FFF00
33.9713415918,-81.0420409969,,#FFF00
33.9713415918,-81.0419984333,,#FFF00
33.9714474705,-81.0420409969,,#FFF00
33.9715886421,-81.0421686876,,#FFF00
33.9716945208,-81.0422112512,,#FFF00
33.9718709854,-81.0424240691,,#FFF00
33.972012157,-81.0425091962,,#FFF00
33.9721886215,-81.0427645777,,#FFF00
33.9724709647,-81.0429773956,,#FFF00
33.9724709647,-81.0430199592,,#FFF00
33.9726827222,-81.0432753407,,#FFF00
33.9729650654,-81.0435307221,,#FFF00
33.9732121158,-81.0437861036,,#FFF00
33.973494459,-81.0439989215,,#FFF00
33.973494459,-81.0440414851,,#FFF00
33.9736709235,-81.0442968666,,#FFF00
33.9739885597,-81.0445096845,,#FFF00
33.9742003171,-81.0448076295,,#FFF00
33.9745179533,-81.0449778838,,#FFF00
33.9747297107,-81.0452332653,,#FFF00
33.9747650036,-81.0451907017,,#FFF00
33.9745532462,-81.0449353202,,#FFF00
