278,303
274,289
269,275
262,259
254,243
246,227
233,211
225,196
214,182
204,169
194,155
185,141
176,128
167,115
154,101
144,86
130,71
117,53
104,38
110,33
123,49
135,67
149,83
159,98
171,111
181,125
190,137
200,151
210,165
220,178
231,192
240,207
253,224
261,239
269,258
275,273
280,287
284,301
290,300
286,285
280,272
276,256
268,236
260,220
246,203
237,188
226,174
216,160
206,147
195,133
186,122
175,108
164,94
154,79
140,62
129,45
116,29
122,24
135,41
145,58
159,76
168,91
179,104
191,118
200,129
211,143
221,156
232,170
243,183
253,198
267,217
274,232
282,255
286,270
291,283
295,298
301,296
297,281
291,268
289,253
281,228
274,213
259,194
249,179
238,166
227,151
217,139
205,125
196,115
183,100
173,87
164,72
150,53
141,37
128,19
