(34.040139688437876, -81.23660183694437)
(34.03932373172307, -81.23660183694437)
(34.03932373172307, -81.23649281284759)
(34.040139688437876, -81.23650371525727)
(34.040148754623594, -81.23639469116048)
(34.03932373172307, -81.23639469116048)
(34.03932373172307, -81.2362856670637)
(34.040148754623594, -81.23629656947337)
(34.040148754623594, -81.2361875453766)
(34.03932373172307, -81.2361875453766)
(34.03932373172307, -81.23607852127981)
(34.040148754623594, -81.23608942368948)
(34.040148754623594, -81.23598039959269)
(34.03932373172307, -81.23598039959269)
(34.03932373172307, -81.23587137549592)
(34.040148754623594, -81.23588227790559)
(34.040148754623594, -81.2357732538088)
(34.03932373172307, -81.2357732538088)
