(34.039731710080474, -81.23616574055723)
(34.039731710080474, -81.23627476465401)
(34.039731710080474, -81.23627476465401)
(34.039822371937674, -81.23616574055723)
(34.039731710080474, -81.23605671646045)
(34.039731710080474, -81.23605671646045)
(34.03962291585184, -81.23614393573787)
(34.03962291585184, -81.23630747188305)
(34.039731710080474, -81.2363837887508)
(34.039731710080474, -81.2363837887508)
(34.039867702866275, -81.2363292767024)
(34.039913033794875, -81.23616574055723)
(34.039867702866275, -81.23601310682173)
(34.039731710080474, -81.23594769236367)
(34.039731710080474, -81.23594769236367)
(34.03960478348039, -81.23600220441206)
(34.03952318780891, -81.23614393573787)
(34.03952318780891, -81.23630747188305)
(34.03960478348039, -81.23644920320888)
(34.039731710080474, -81.23649281284759)
(34.03974077626619, -81.23649281284759)
(34.039867702866275, -81.23644920320888)
(34.03996743090919, -81.2363292767024)
(34.040003695652075, -81.23617664296691)
(34.03996743090919, -81.23601310682173)
(34.03987676905199, -81.23589318031527)
(34.03974077626619, -81.23583866826688)
(34.039731710080474, -81.23583866826688)
(34.039595717294674, -81.23588227790559)
(34.039486923066036, -81.23599130200238)
(34.03942345976599, -81.23614393573787)
(34.03942345976599, -81.23630747188305)
(34.039486923066036, -81.23646010561855)
(34.039595717294674, -81.23656912971533)
(34.039731710080474, -81.23660183694437)
(34.03974077626619, -81.23660183694437)
(34.03987676905199, -81.23656912971533)
(34.03999462946636, -81.2364819104379)
(34.04006715895211, -81.23634017911209)
(34.040094357509275, -81.23616574055723)
(34.04006715895211, -81.23600220441206)
(34.03999462946636, -81.23586047308623)
(34.03987676905199, -81.2357732538088)
(34.039731710080474, -81.23572964417009)
(34.039731710080474, -81.23572964417009)
(34.039595717294674, -81.23576235139913)
(34.03947785688031, -81.23584957067655)
(34.03938719502311, -81.23598039959269)
(34.03933279790879, -81.23614393573787)
(34.03933279790879, -81.23630747188305)
(34.03938719502311, -81.23647100802823)
(34.03947785688031, -81.23660183694437)
(34.039595717294674, -81.23668905622179)
(34.039731710080474, -81.23671086104116)
