341,349
336,347
334,337
332,333
328,322
324,311
321,299
317,289
314,278
307,266
306,253
305,224
299,206
279,167
273,155
259,135
250,123
242,113
234,102
229,94
220,83
212,73
205,62
198,54
189,43
186,39
174,47
178,52
186,62
193,71
200,82
208,92
216,103
222,111
229,122
237,132
246,144
259,163
265,174
282,208
292,231
294,257
296,270
303,282
306,292
310,303
313,315
317,326
320,336
323,342
324,349
334,353
327,357
312,351
312,346
309,339
306,330
302,319
299,307
295,296
292,286
286,274
282,260
279,238
266,209
251,181
245,170
233,153
224,141
216,130
210,120
203,111
196,101
188,91
181,80
174,70
167,62
162,55
150,63
156,71
161,78
169,89
175,99
184,110
190,120
197,129
203,139
211,150
220,162
231,178
237,188
249,211
266,245
270,264
275,278
281,290
284,299
288,310
291,323
294,334
297,342
301,351
300,353
320,361
313,365
288,355
290,355
285,345
283,338
280,327
277,314
273,302
270,294
264,282
258,267
253,252
232,212
223,195
217,185
207,171
198,159
190,147
185,138
177,128
172,119
163,108
157,98
149,86
145,80
138,71
