432,574
412,551
398,525
389,501
373,476
346,451
322,435
296,419
272,406
246,395
221,379
204,357
197,330
200,309
205,282
212,258
231,233
250,218
275,200
299,174
310,150
317,121
313,97
294,59
272,37
234,27
212,27
187,33
163,36
138,42
114,47
86,60
62,75
32,105
36,109
65,80
88,65
115,52
139,47
164,41
187,38
212,33
231,33
266,41
288,62
307,97
311,119
305,147
295,169
271,195
245,213
225,229
206,257
200,281
194,310
193,332
201,361
219,382
245,398
270,409
294,422
319,438
342,454
368,478
383,504
393,528
408,555
429,578
426,582
404,559
388,531
378,507
364,481
338,457
317,441
291,425
269,412
243,400
218,385
198,366
188,334
188,311
194,280
200,256
219,226
241,208
268,191
291,165
300,144
305,117
300,96
282,65
260,46
228,39
212,38
187,42
165,45
140,51
116,56
90,69
67,86
40,113
44,117
70,91
92,74
117,61
141,56
166,50
187,47
212,44
225,45
254,50
276,68
294,96
299,115
295,141
287,160
264,186
236,203
213,222
194,255
189,279
182,312
184,336
195,370
216,388
242,403
267,415
289,428
314,444
334,460
359,483
372,510
383,534
400,563
423,586
