432,575
412,550
398,524
390,501
373,476
346,451
321,435
296,420
271,407
245,397
220,380
204,357
197,330
201,308
206,282
197,281
191,310
191,333
200,364
219,384
244,399
270,410
293,424
318,440
340,455
366,480
381,506
390,530
406,557
428,580
423,585
399,564
382,535
371,510
359,483
334,460
315,444
290,428
268,413
243,401
217,387
195,370
184,335
181,312
188,279
206,282
213,258
233,234
251,219
275,201
299,175
310,151
318,121
315,97
296,59
273,35
234,25
232,30
268,39
290,61
309,97
313,119
306,148
296,171
272,197
247,215
228,231
208,257
201,281
197,281
203,256
222,228
243,211
270,193
293,167
303,146
308,118
304,97
285,64
263,44
230,36
227,41
257,48
280,66
298,96
302,116
299,143
289,163
267,189
239,206
216,224
197,255
193,280
188,279
192,254
211,221
235,202
264,185
286,159
295,140
297,114
292,96
274,68
252,52
225,46
225,46
212,45
187,47
165,50
141,56
116,61
92,74
70,92
44,118
38,111
66,83
89,67
115,54
140,49
164,43
187,40
212,36
230,36
234,25
212,27
187,34
163,36
138,42
114,47
86,60
62,74
32,104
